Gesture,Node_0_X,Node_0_Y,Node_1_X,Node_1_Y,Node_2_X,Node_2_Y,Node_3_X,Node_3_Y,Node_4_X,Node_4_Y,Node_5_X,Node_5_Y,Node_6_X,Node_6_Y,Node_7_X,Node_7_Y,Node_8_X,Node_8_Y,Node_9_X,Node_9_Y,Node_10_X,Node_10_Y,Node_11_X,Node_11_Y,Node_12_X,Node_12_Y,Node_13_X,Node_13_Y,Node_14_X,Node_14_Y,Node_15_X,Node_15_Y,Node_16_X,Node_16_Y,Node_17_X,Node_17_Y,Node_18_X,Node_18_Y,Node_19_X,Node_19_Y,Node_20_X,Node_20_Y
Hand,0,0,-0.091010038,-0.022209373,-0.168595788,-0.088268846,-0.214925484,-0.161730682,-0.258333331,-0.217607682,-0.159950089,-0.212211461,-0.222694251,-0.288259957,-0.260216293,-0.333603625,-0.291423258,-0.378264395,-0.123114804,-0.244958347,-0.177295742,-0.344163886,-0.211903182,-0.404544674,-0.240302439,-0.457440364,-0.079688544,-0.252492872,-0.119057095,-0.348860682,-0.145665216,-0.40796211,-0.169721785,-0.461358946,-0.030754269,-0.24175895,-0.055546744,-0.318530509,-0.074474358,-0.367359366,-0.093764536,-0.413050363
Hand,0,0,-0.072486584,-0.036472755,-0.12340458,-0.124280977,-0.146738782,-0.191769611,-0.171689697,-0.24242908,-0.11149793,-0.236302936,-0.153863171,-0.313697807,-0.185517937,-0.357158868,-0.214780854,-0.397692772,-0.084143395,-0.250969252,-0.124419262,-0.349261058,-0.156264163,-0.410271236,-0.184980945,-0.465127842,-0.052348273,-0.242755333,-0.083817059,-0.34177714,-0.111778958,-0.402924763,-0.138271397,-0.455849301,-0.017856151,-0.217578846,-0.037909211,-0.298741418,-0.058661938,-0.353380899,-0.080229611,-0.402601178
Hand,0,0,-0.06634593,-0.044703,-0.102290257,-0.132976432,-0.112505128,-0.194212031,-0.125874134,-0.240229844,-0.101321115,-0.243325243,-0.140597855,-0.32105529,-0.172939275,-0.36540905,-0.202633455,-0.404373833,-0.082687153,-0.251231978,-0.122730255,-0.347358083,-0.159321894,-0.405656628,-0.193438119,-0.456946255,-0.059708744,-0.241939076,-0.094104595,-0.340200576,-0.129616037,-0.396293504,-0.162205431,-0.440907373,-0.03464481,-0.21931341,-0.056215306,-0.299917182,-0.083013975,-0.352583669,-0.110285398,-0.395538812
Hand,0,0,-0.062224061,-0.001002142,-0.120372984,-0.056118968,-0.150437308,-0.132866307,-0.181893466,-0.197747967,-0.179617715,-0.180088727,-0.251022257,-0.264378397,-0.292647275,-0.312676707,-0.326621919,-0.356274951,-0.155079429,-0.209269378,-0.225492075,-0.301781618,-0.267860834,-0.360242601,-0.300222519,-0.410129352,-0.123587687,-0.21877779,-0.178368051,-0.29963692,-0.213138373,-0.354545149,-0.241358538,-0.400933089,-0.085152194,-0.215700507,-0.124649354,-0.272761245,-0.150943406,-0.306600623,-0.172574233,-0.335450867
Hand,0,0,-0.066381312,0.038112114,-0.152770254,0.024745916,-0.221321011,-0.008812017,-0.274232602,-0.018326732,-0.195506071,-0.089000396,-0.272097541,-0.112378334,-0.318580939,-0.130254002,-0.355673924,-0.147577487,-0.178692438,-0.136880014,-0.251611946,-0.184020882,-0.295793196,-0.213746577,-0.329622982,-0.239359246,-0.147446806,-0.166136722,-0.200463906,-0.223293218,-0.237970621,-0.258969892,-0.269172649,-0.291145058,-0.105155485,-0.180735648,-0.116748506,-0.244017052,-0.125134917,-0.286730135,-0.133495123,-0.324970894
Hand,0,0,-0.075881585,0.006860954,-0.159858932,-0.041187207,-0.218216909,-0.094951486,-0.268988127,-0.11590286,-0.159898324,-0.16649797,-0.234264228,-0.225528942,-0.280825132,-0.264296483,-0.319841342,-0.301994754,-0.124708912,-0.208934319,-0.185047511,-0.301224425,-0.223765258,-0.360205058,-0.25700298,-0.41171598,-0.078879256,-0.220850268,-0.115440757,-0.319828309,-0.140688014,-0.384391634,-0.164980532,-0.443754193,-0.026287699,-0.209447143,-0.018264017,-0.289792364,-0.014484944,-0.345619752,-0.016270776,-0.398837729
Hand,0,0,-0.074245908,0.026535943,-0.15807624,0.003940768,-0.219171721,-0.023451574,-0.274819835,-0.036810786,-0.144494216,-0.069595582,-0.226117412,-0.098046719,-0.276621216,-0.106134163,-0.323243532,-0.119813068,-0.11572462,-0.104349147,-0.169698139,-0.152082581,-0.210804117,-0.178176536,-0.248572659,-0.211046519,-0.074514414,-0.115708936,-0.080240174,-0.177157988,-0.083842739,-0.217353007,-0.09393467,-0.26321015,-0.025086089,-0.106709438,0.004803016,-0.155760578,0.02723404,-0.187692988,0.042807422,-0.22303515
Hand,0,0,-0.068685033,0.025823055,-0.152652662,0.002459978,-0.218266923,-0.030217285,-0.274096261,-0.043736059,-0.150102014,-0.054407428,-0.207559824,-0.090349064,-0.240584849,-0.117057919,-0.273501872,-0.145717082,-0.123492951,-0.081681073,-0.178245491,-0.120125748,-0.218318967,-0.149129262,-0.254741259,-0.178946688,-0.081745849,-0.09493696,-0.125307899,-0.143225857,-0.158220037,-0.177587617,-0.190277312,-0.211166605,-0.0319947,-0.095630067,-0.066101343,-0.1394708,-0.092814763,-0.168427133,-0.11867736,-0.197888649
Hand,0,0,-0.077564591,0.002611914,-0.158685277,-0.049939478,-0.211678131,-0.105750349,-0.260383254,-0.132398094,-0.172267881,-0.173848229,-0.227232007,-0.254030906,-0.257987202,-0.302208639,-0.283884819,-0.347527085,-0.144238531,-0.202659299,-0.205115119,-0.29007498,-0.241581955,-0.34488426,-0.272528124,-0.392343105,-0.107331848,-0.212242776,-0.160800868,-0.301215139,-0.192133623,-0.354501887,-0.219174003,-0.400897536,-0.062034261,-0.207509809,-0.102890545,-0.274000242,-0.130100888,-0.316595274,-0.15459571,-0.354805046
Hand,0,0,-0.075060927,0.021346433,-0.149789291,-0.008410212,-0.200861601,-0.056855682,-0.244219268,-0.080503728,-0.170994531,-0.112754669,-0.225452288,-0.173585455,-0.253398353,-0.208881646,-0.276007453,-0.239626282,-0.14933684,-0.147222471,-0.211069976,-0.213572928,-0.24641707,-0.253177737,-0.273149477,-0.283581399,-0.121275478,-0.167233562,-0.176975933,-0.232154239,-0.208487024,-0.26974203,-0.232686337,-0.30011912,-0.085711361,-0.179714172,-0.129365752,-0.227840416,-0.156765744,-0.254328336,-0.180678476,-0.277360838
